epoch,accuracy,loss,val_accuracy,val_loss
0,0.4913073778152466,1.264458417892456,0.5182748436927795,1.2157683372497559
1,0.5250433087348938,1.1641144752502441,0.5488303899765015,1.0985124111175537
2,0.5413265228271484,1.1267703771591187,0.555701732635498,1.0845552682876587
3,0.5514697432518005,1.0981559753417969,0.5678362846374512,1.054224967956543
4,0.5588241815567017,1.072335124015808,0.5697368383407593,1.0383551120758057
5,0.567010760307312,1.0570493936538696,0.5767543911933899,1.0315431356430054
6,0.5697996020317078,1.0441226959228516,0.5660818815231323,1.0374699831008911
7,0.5749274492263794,1.0310003757476807,0.5752924084663391,1.0468710660934448
8,0.5792231559753418,1.0240422487258911,0.5883041024208069,1.0070439577102661
9,0.5797404646873474,1.0157394409179688,0.5828947424888611,1.0052530765533447
10,0.5828666687011719,1.0084127187728882,0.5866959095001221,0.9965986609458923
11,0.5880619883537292,0.9996644854545593,0.5947368144989014,0.9883279204368591
12,0.5908733010292053,0.9925799369812012,0.5964912176132202,0.9757781624794006
13,0.5905359387397766,0.9883354306221008,0.5922514796257019,0.9804874062538147
14,0.5952364802360535,0.9791615009307861,0.5919590592384338,0.9887049794197083
15,0.5989474654197693,0.9757736325263977,0.5966374278068542,0.9748191833496094
16,0.598452627658844,0.969462513923645,0.5975146293640137,0.968221127986908
17,0.5979353785514832,0.9685766696929932,0.5891813039779663,0.9731430411338806
18,0.5984076857566833,0.9639387726783752,0.5944444537162781,0.9831859469413757
19,0.6017362475395203,0.9579740762710571,0.5932748317718506,0.9863731861114502
20,0.6041427850723267,0.9557244181632996,0.6001461744308472,0.9733378887176514
21,0.6068191528320312,0.9472245573997498,0.6002923846244812,0.9584314823150635
22,0.6064143180847168,0.9474369883537292,0.6013157963752747,0.957518458366394
23,0.6076512932777405,0.9414467215538025,0.5991228222846985,0.9605011343955994
24,0.6087983250617981,0.9391579031944275,0.5926900506019592,0.9656125903129578
25,0.6113172769546509,0.9370513558387756,0.6035087704658508,0.9637269377708435
26,0.6127791404724121,0.930799126625061,0.5995613932609558,0.9570278525352478
27,0.6113172769546509,0.928762674331665,0.6016082167625427,0.9544197916984558
28,0.6132065057754517,0.9273926019668579,0.5991228222846985,0.9560701251029968
29,0.6173222661018372,0.9248351454734802,0.598099410533905,0.970900297164917
30,0.6146233677864075,0.9234055876731873,0.598099410533905,0.9635767340660095
31,0.6179519891738892,0.9206941723823547,0.601754367351532,0.962773323059082
32,0.6184242963790894,0.9158369898796082,0.6040935516357422,0.9567675590515137
