epoch,accuracy,loss,val_accuracy,val_loss
0,0.4680071175098419,1.671251893043518,0.5233917832374573,1.1662700176239014
1,0.5263702273368835,1.1665689945220947,0.5498538017272949,1.0966300964355469
2,0.5399770736694336,1.125556468963623,0.5565789341926575,1.0606229305267334
3,0.5503677129745483,1.0991711616516113,0.565497100353241,1.037918210029602
4,0.5584418773651123,1.083404779434204,0.5650584697723389,1.03121018409729
5,0.5652340054512024,1.0972965955734253,0.578801155090332,1.0215028524398804
6,0.5663135647773743,1.058995246887207,0.5764619708061218,1.0105172395706177
7,0.5698446035385132,1.050582766532898,0.5830409526824951,1.009186863899231
8,0.5710591077804565,1.046505331993103,0.5792397856712341,1.007347822189331
9,0.5742752552032471,1.0362495183944702,0.5773391723632812,1.0196764469146729
10,0.5738704204559326,1.0342015027999878,0.5871344804763794,0.9965465068817139
11,0.5771315693855286,1.0387042760849,0.5828947424888611,0.997185230255127
12,0.5780311822891235,1.0266426801681519,0.5828947424888611,0.9983918070793152
13,0.5782335996627808,1.0232402086257935,0.5884503126144409,0.9880883097648621
14,0.5807974934577942,1.01985502243042,0.5896198749542236,0.9854174256324768
15,0.5812023282051086,1.036566972732544,0.5852339267730713,0.9938962459564209
16,0.582146942615509,1.0879172086715698,0.5881578922271729,0.9877614378929138
17,0.5834513902664185,1.0131741762161255,0.5871344804763794,0.9899762272834778
18,0.5848458409309387,1.0076470375061035,0.5919590592384338,0.9829255938529968
19,0.5844634771347046,248.8566436767578,0.5916666388511658,0.9852160215377808
20,0.5857904553413391,1.0016502141952515,0.5845029354095459,0.985594630241394
21,0.5860153436660767,0.9988400936126709,0.5888888835906982,0.981965959072113
22,0.5861952900886536,1.002402424812317,0.5894736647605896,0.9789783358573914
23,0.5888266563415527,0.9961599111557007,0.5937134623527527,0.976427435874939
24,0.5875446796417236,0.9983890056610107,0.5837719440460205,0.9906883239746094
25,0.5877021551132202,0.9965658187866211,0.5897660851478577,0.9832547903060913
26,0.5896813273429871,132.77052307128906,0.5888888835906982,0.9783730506896973
27,0.5873197913169861,1.1031357049942017,0.5916666388511658,0.9930600523948669
28,0.5889391303062439,0.9921109080314636,0.5890350937843323,0.9787420034408569
